"game_half","posteam","qtr","down","time","yrdln","ydstogo","yards_gained","play_type","shotgun","no_huddle","pass_length","pass_location","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","half_seconds_remaining","game_seconds_remaining","return_yards","penalty_team","safety","fumble_lost","interception","sack","penalty_player_name","success","pass","rush","aborted_play","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","personnel","opponent_personnel","pre-formation","post-formation","motion"
"Half1","PHI",1,NA,"15:00","-35",0,0,"kickoff",0,0,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,3,3,1800,3600,27,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"Kickoff","Kickoff Return","","",""
"Half1","PHI",1,1,"14:54","33",10,15,"pass",1,0,"short","middle",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1794,3594,0,NA,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,"4-2 Nickel","12","Cover 3","Cover 2","6 Smith"
"Half1","PHI",1,1,"14:19","48",10,0,"no_play",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1759,3559,0,"0",0,0,0,0,"C.Jurgens",0,1,0,0,0,0,0,0,0,"4-2 Nickel","11","Cover 2","","No"
"Half1","PHI",1,1,"13:55","43",15,1,"run",1,0,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,3,3,1735,3535,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,"4-2 Nickel","11","Cover 4","","18 Covey"
"Half1","PHI",1,2,"13:25","44",14,4,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1705,3505,0,NA,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,"4-2 Nickel","11","Cover 4","Cover 3","No"
"Half1","PHI",1,3,"12:48","48",10,4,"run",1,0,NA,NA,"right","guard",NA,NA,NA,NA,NA,NA,3,3,1668,3468,0,NA,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,"5-1 Nickel","11","Cover 2","","18 Covey"
"Half1","PHI",1,4,"12:10","-48",6,0,"punt",0,0,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,3,3,1630,3430,0,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,"Punt Return Load Right","Punt","","","No"
"Half1","ATL",1,1,"12:00","-8",10,7,"run",0,0,NA,NA,"left","guard",NA,NA,NA,NA,NA,NA,3,3,1620,3420,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,"11","4-2 Nickel","Singleback Ace","Singleback Wing","5 London"
"Half1","ATL",1,2,"11:33","-15",3,7,"run",0,1,NA,NA,"right","tackle",NA,NA,NA,NA,NA,NA,3,3,1593,3393,0,NA,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,"11","4-2 Nickel","Singleback Trips","Singleback Wing","5 London"
"Half1","ATL",1,1,"11:00","-22",10,0,"pass",0,0,"short","middle",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1560,3360,0,NA,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,"11","4-2 Nickel","Singleback Double Slot","",""
"Half1","ATL",1,2,"10:54","-22",10,6,"pass",1,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1554,3354,0,NA,0,0,0,0,NA,1,1,0,0,0,0,0,0,0,"11","4-3 Nickel","Shotgun Ace","","No"
"Half1","ATL",1,3,"10:14","-28",4,0,"pass",1,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,3,3,1514,3314,0,NA,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,"11","4-2 Nickel","Shotgun Bunch Left","","34 McCloud"
"Half1","ATL",1,4,"10:08","-28",4,0,"punt",0,0,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,3,3,1508,3308,9,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"Punt","Punt Return","","","No"
